Produkt_Code,SDO_ID,Zeitstempel,Wert,Qualitaet_Niveau,Qualitaet_Byte
TT_TU_MN009,2014,201501170100.00,4.3,7,1
TT_TU_MN009,2014,201501170200.00,4.4,7,1
TT_TU_MN009,2014,201501170300.00,4.2,7,1
TT_TU_MN009,2014,201501170400.00,3.9,7,1
TT_TU_MN009,2014,201501170500.00,3.6,7,1
TT_TU_MN009,2014,201501170600.00,3,7,1
TT_TU_MN009,2014,201501170700.00,2.3,7,1
TT_TU_MN009,2014,201501170800.00,1.7,7,1
TT_TU_MN009,2014,201501170900.00,2,7,1
TT_TU_MN009,2014,201501171000.00,2.9,7,1
TT_TU_MN009,2014,201501171100.00,3.8,7,1
TT_TU_MN009,2014,201501171200.00,4.4,7,1
TT_TU_MN009,2014,201501171300.00,4.9,7,1
TT_TU_MN009,2014,201501171400.00,4.3,7,1
TT_TU_MN009,2014,201501171500.00,4.1,7,1
TT_TU_MN009,2014,201501171600.00,2.6,7,1
TT_TU_MN009,2014,201501171700.00,2,7,1
TT_TU_MN009,2014,201501171800.00,1.5,7,1
TT_TU_MN009,2014,201501171900.00,1.5,7,1
TT_TU_MN009,2014,201501172000.00,0.8,7,1
TT_TU_MN009,2014,201501172100.00,-0.3,7,1
TT_TU_MN009,2014,201501172200.00,0.3,7,1
TT_TU_MN009,2014,201501172300.00,-0.1,7,1
TT_TU_MN009,2014,201501180000.00,0.3,7,1
TT_TU_MN009,2014,201501180100.00,0.5,7,1
TT_TU_MN009,2014,201501180200.00,0,7,1
TT_TU_MN009,2014,201501180300.00,-0.2,7,1
TT_TU_MN009,2014,201501180400.00,0.9,7,1
TT_TU_MN009,2014,201501180500.00,1.2,7,1
TT_TU_MN009,2014,201501180600.00,1.3,7,1
TT_TU_MN009,2014,201501180700.00,1,7,1
TT_TU_MN009,2014,201501180800.00,0.6,7,1
TT_TU_MN009,2014,201501180900.00,1.2,7,1
TT_TU_MN009,2014,201501181000.00,1.5,7,1
TT_TU_MN009,2014,201501181100.00,2.3,7,1
TT_TU_MN009,2014,201501181200.00,2.6,7,1
TT_TU_MN009,2014,201501181300.00,3,7,1
TT_TU_MN009,2014,201501181400.00,3,7,1
TT_TU_MN009,2014,201501181500.00,3.3,7,1
TT_TU_MN009,2014,201501181600.00,2.9,7,1
TT_TU_MN009,2014,201501181700.00,2.5,7,1
TT_TU_MN009,2014,201501181800.00,2,7,1
TT_TU_MN009,2014,201501181900.00,1.4,7,1
TT_TU_MN009,2014,201501182000.00,1.4,7,1
TT_TU_MN009,2014,201501182100.00,0.4,7,1
TT_TU_MN009,2014,201501182200.00,0.3,7,1
TT_TU_MN009,2014,201501182300.00,-0.3,7,1
TT_TU_MN009,2014,201501190000.00,-0.1,7,1
TT_TU_MN009,2014,201501190100.00,0,7,1
TT_TU_MN009,2014,201501190200.00,0.1,7,1
TT_TU_MN009,2014,201501190300.00,0.5,7,1
TT_TU_MN009,2014,201501190400.00,-0.6,7,1
TT_TU_MN009,2014,201501190500.00,-0.6,7,1
TT_TU_MN009,2014,201501190600.00,-0.5,7,1
TT_TU_MN009,2014,201501190700.00,-0.2,7,1
TT_TU_MN009,2014,201501190800.00,-0.2,7,1
TT_TU_MN009,2014,201501190900.00,0.7,7,1
TT_TU_MN009,2014,201501191000.00,1.7,7,1
TT_TU_MN009,2014,201501191100.00,1.8,7,1
TT_TU_MN009,2014,201501191200.00,2.1,7,1
TT_TU_MN009,2014,201501191300.00,2.8,7,1
TT_TU_MN009,2014,201501191400.00,3,7,1
TT_TU_MN009,2014,201501191500.00,1.7,7,1
TT_TU_MN009,2014,201501191600.00,1.1,7,1
TT_TU_MN009,2014,201501191700.00,0.7,7,1
TT_TU_MN009,2014,201501191800.00,0.5,7,1
TT_TU_MN009,2014,201501191900.00,0.3,7,1
TT_TU_MN009,2014,201501192000.00,0,7,1
TT_TU_MN009,2014,201501192100.00,-0.4,7,1
TT_TU_MN009,2014,201501192200.00,-0.7,7,1
TT_TU_MN009,2014,201501192300.00,-0.9,7,1
TT_TU_MN009,2014,201501200000.00,-0.9,7,1
TT_TU_MN009,2014,201501200100.00,-1.3,7,1
TT_TU_MN009,2014,201501200200.00,-1.2,7,1
TT_TU_MN009,2014,201501200300.00,-1.3,7,1
TT_TU_MN009,2014,201501200400.00,-1.5,7,1
TT_TU_MN009,2014,201501200500.00,-1.7,7,1
TT_TU_MN009,2014,201501200600.00,-1.6,7,1
TT_TU_MN009,2014,201501200700.00,-1.3,7,1
TT_TU_MN009,2014,201501200800.00,-1.5,7,1
TT_TU_MN009,2014,201501200900.00,-0.8,7,1
TT_TU_MN009,2014,201501201000.00,-0.4,7,1
TT_TU_MN009,2014,201501201100.00,0.2,7,1
TT_TU_MN009,2014,201501201200.00,0.7,7,1
TT_TU_MN009,2014,201501201300.00,0.9,7,1
TT_TU_MN009,2014,201501201400.00,1,7,1
TT_TU_MN009,2014,201501201500.00,0.8,7,1
TT_TU_MN009,2014,201501201600.00,-0.2,7,1
TT_TU_MN009,2014,201501201700.00,-0.7,7,1
TT_TU_MN009,2014,201501201800.00,-1.7,7,1
TT_TU_MN009,2014,201501201900.00,-2.1,7,1
TT_TU_MN009,2014,201501202000.00,-1.6,7,1
TT_TU_MN009,2014,201501202100.00,-3.1,7,1
TT_TU_MN009,2014,201501202200.00,-2.4,7,1
TT_TU_MN009,2014,201501202300.00,-2.6,7,1
TT_TU_MN009,2014,201501210000.00,-2.2,7,1
TT_TU_MN009,2014,201501210100.00,-2.9,7,1
TT_TU_MN009,2014,201501210200.00,-4.3,7,1
TT_TU_MN009,2014,201501210300.00,-4.4,7,1
TT_TU_MN009,2014,201501210400.00,-4,7,1
TT_TU_MN009,2014,201501210500.00,-4.5,7,1
TT_TU_MN009,2014,201501210600.00,-5,7,1
TT_TU_MN009,2014,201501210700.00,-4.9,7,1
TT_TU_MN009,2014,201501210800.00,-4.4,7,1
TT_TU_MN009,2014,201501210900.00,-3.7,7,1
TT_TU_MN009,2014,201501211000.00,-2.1,7,1
